id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
11|बिहारी ने गर्मी की दोपहर को कैसा बताया है?|सुखद|छायादार|भयानक|मानो छाया भी छाया ढूँढ़ रही हो|मानो छाया भी छाया ढूँढ़ रही हो|Non-Hindi_C6|30
12|'बतरस लालच लाल की' - इस दोहे में गोपियाँ कृष्ण की मुरली क्यों छिपा लेती हैं?|उसे तोड़ने के लिए|उसे बजाने के लिए|कृष्ण से बात करने के लालच में|उसे बेचने के लिए|कृष्ण से बात करने के लालच में|Non-Hindi_C6|30
13|बिहारी किस रस के कवि के रूप में प्रसिद्ध हैं?|वीर रस|करुण रस|शांत रस|श्रृंगार रस|श्रृंगार रस|Non-Hindi_C6|30
14|बिहारी की एकमात्र रचना का क्या नाम है?|रामचरितमानस|पद्मावत|बिहारी सतसई|सूरसागर|बिहारी सतसई|Non-Hindi_C6|30
15|'बिहारी सतसई' में लगभग कितने दोहे हैं?|500|600|700|800|700|Non-Hindi_C6|30
16|'दीरघ साँस न लेहु दुख' - इस पंक्ति में कवि क्या सलाह देते हैं?|दुःख में लंबी साँस लेने की|दुःख में भगवान को न भूलने की|सुख में भगवान को याद करने की|दुःख और सुख दोनों में समान रहने की|दुःख में भगवान को न भूलने की|Non-Hindi_C6|30
17|बिहारी के अनुसार, भगवान दुःख और सुख में किसे समान रूप से स्वीकार करते हैं?|अमीर को|गरीब को|जो दोनों में समान रहता है|जो सिर्फ सुख में याद करता है|जो दोनों में समान रहता है|Non-Hindi_C6|30
18|'स्याम' शब्द का प्रयोग किसके लिए हुआ है?|शिव|राम|कृष्ण|विष्णु|कृष्ण|Non-Hindi_C6|30
19|बिहारी का जन्म कहाँ हुआ था?|पटना, बिहार|जयपुर, राजस्थान|ग्वालियर, मध्य प्रदेश|आगरा, उत्तर प्रदेश|ग्वालियर, मध्य प्रदेश|Non-Hindi_C6|30
20|'नागरि' शब्द का प्रयोग किसके लिए किया गया है?|चतुर स्त्री (राधा)|गाँव की स्त्री|शहर की स्त्री|सुंदर स्त्री|चतुर स्त्री (राधा)|Non-Hindi_C6|30
21|बिहारी के दोहों की भाषा क्या है?|अवधी|खड़ी बोली|ब्रजभाषा|मैथिली|ब्रजभाषा|Non-Hindi_C6|30
22|'गागर में सागर भरना' - यह उक्ति किस कवि के लिए प्रसिद्ध है?|सूरदास|तुलसीदास|कबीरदास|बिहारी|बिहारी|Non-Hindi_C6|30
23|बिहारी ने बुरे व्यक्ति की तुलना किससे की है?|धतूरे से|सोने से|गुणहीन व्यक्ति से|अंगूठी के नगीने से|धतूरे से|Non-Hindi_C6|30
24|'गुण-अन' में कौन सा अलंकार है?|अनुप्रास|यमक|श्लेष|उपमा|यमक|Non-Hindi_C6|30
25|बिहारी के दोहों में किस विषय की प्रधानता है?|भक्ति, नीति और श्रृंगार|वीरता और युद्ध|प्रकृति चित्रण|सामाजिक सुधार|भक्ति, नीति और श्रृंगार|Non-Hindi_C6|30
26|गोपियाँ कृष्ण की मुरली छिपाकर क्या करती हैं?|हँसती हैं|भाग जाती हैं|सौगंध खाती हैं और भौंहों से हँसती हैं|रोने लगती हैं|सौगंध खाती हैं और भौंहों से हँसती हैं|Non-Hindi_C6|30
27|बिहारी के अनुसार, विनम्रता से क्या प्राप्त होता है?|धन|अपमान|ऊँचा स्थान|ज्ञान|ऊँचा स्थान|Non-Hindi_C6|30
28|'काँचै मन' का क्या अर्थ है?|कच्चा मन|पक्का मन|साफ मन|दुष्ट मन|कच्चा मन|Non-Hindi_C6|30
29|बिहारी के अनुसार, ईश्वर किस मन में वास नहीं करते?|सच्चे मन में|कच्चे और आडंबरी मन में|दुखी मन में|खुश मन में|कच्चे और आडंबरी मन में|Non-Hindi_C6|30
30|'हरित दुति' का क्या अर्थ है?|हरी आभा|दुःख हरना|खुशी देना|चमकना|हरी आभा|Non-Hindi_C6|30
31|राधा की परछाई पड़ने से कृष्ण का साँवला शरीर कैसा हो जाता है?|काला|पीला|हरा|नीला|हरा|Non-Hindi_C6|30
32|'बतरस' का संधि विच्छेद क्या है?|बातों + रस|बात + रस|बतर + अस|बाता + रस|बात + रस|Non-Hindi_C6|30
33|बिहारी ने अपने दोहों में किन देवी-देवताओं का उल्लेख किया है?|शिव-पार्वती|राम-सीता|राधा-कृष्ण|ब्रह्मा-विष्णु|राधा-कृष्ण|Non-Hindi_C6|30
34|'सतसई' का क्या अर्थ है?|सात सौ दोहों का संग्रह|सत्य का साथ|सच्ची बातें|सात सखियाँ|सात सौ दोहों का संग्रह|Non-Hindi_C6|30
35|दोहे के अनुसार, किसकी संगति में व्यक्ति बुरा बन जाता है?|सज्जन की|गुरु की|दुर्जन की|मित्र की|दुर्जन की|Non-Hindi_C6|30
36|'नल-नीर' में 'नीर' का क्या अर्थ है?|आग|हवा|पानी|आकाश|पानी|Non-Hindi_C6|30
37|'तन' का पर्यायवाची क्या है?|मन|धन|शरीर|वचन|शरीर|Non-Hindi_C6|30
38|बिहारी ने अपने दोहे किस छंद में लिखे हैं?|चौपाई|सोरठा|दोहा|सवैया|दोहा|Non-Hindi_C6|30
39|'दई-दई' का क्या अर्थ है?|देना-देना|दैव-दैव या भाग्य-भाग्य|दीया-दीया|लेना-देना|दैव-दैव या भाग्य-भाग्य|Non-Hindi_C6|30
40|बिहारी के अनुसार, हमें दुःख में क्या नहीं करना चाहिए?|रोना नहीं चाहिए|भगवान को याद करना चाहिए|आहें नहीं भरनी चाहिए|चुप नहीं रहना चाहिए|आहें नहीं भरनी चाहिए|Non-Hindi_C6|30
41|'जा तन की झाँईं परै' में 'झाँईं' का क्या अर्थ है?|परछाई|झलक|शरीर|आँख|परछाई|Non-Hindi_C6|30
42|दोहे के अनुसार, धतूरा खाने से क्या होता है?|नींद आती है|पागलपन छाता है|खुशी मिलती है|दुःख होता है|पागलपन छाता है|Non-Hindi_C6|30
43|बिहारी किस राजा के दरबारी कवि थे?|राजा मानसिंह|महाराणा प्रताप|राजा जयसिंह|अकबर|राजा जयसिंह|Non-Hindi_C6|30
44|'भौंहनु हँसै' का क्या अर्थ है?|मुँह से हँसना|आँखों से हँसना|भौंहों से इशारा करना या हँसना|दिल में हँसना|भौंहों से इशारा करना या हँसना|Non-Hindi_C6|30
45|बिहारी के दोहे किस बात का उदाहरण हैं?|कम शब्दों में अधिक कहने की कला|विस्तार से वर्णन करने की कला|सरल भाषा का प्रयोग|कठिन भाषा का प्रयोग|कम शब्दों में अधिक कहने की कला|Non-Hindi_C6|30
46|'कब को टेरतु दीन रट' - इसमें कौन किसे पुकार रहा है?|भक्त भगवान को|गोपी कृष्ण को|राधा कृष्ण को|कवि राजा को|भक्त भगवान को|Non-Hindi_C6|30
47|बिहारी के अनुसार, बिना गुणों के कोई बड़ा कैसे नहीं बन सकता?|जैसे धतूरे को गहना नहीं कह सकते|जैसे पत्थर सोना नहीं बन सकता|जैसे कौआ हंस नहीं बन सकता|जैसे रात दिन नहीं बन सकती|जैसे धतूरे को गहना नहीं कह सकते|Non-Hindi_C6|30
48|'सौंह करै' का क्या अर्थ है?|सच कहना|सौगंध खाना|बात करना|मना करना|सौगंध खाना|Non-Hindi_C6|30
49|बिहारी ने ग्रीष्म ऋतु की दोपहर की तुलना किससे की है?|तपोवन से|युद्धक्षेत्र से|बाजार से|घर से|तपोवन से|Non-Hindi_C6|30
50|बिहारी के दोहों का मुख्य भाव क्या है?|जीवन की नश्वरता|प्रेम और भक्ति की गहराई|युद्ध का वर्णन|सामाजिक कुरीतियाँ|प्रेम और भक्ति की गहराई|Non-Hindi_C6|30
