id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
12|समीकरण युग्म $2x+3y=9$ और $4x+6y=18$ के हल की संख्या क्या है?|एक अद्वितीय|अनंत|कोई हल नहीं|दो हल|अनंत|Mathematics_C3|30
13|$k$ के किस मान के लिए समीकरण निकाय $x+2y=3$ और $5x+ky+7=0$ का कोई अद्वितीय हल होगा?|$k=10$|$k \\ne 10$|$k=-10$|$k=5$|$k \\ne 10$|Mathematics_C3|30
14|$k$ के किस मान के लिए समीकरण युग्म $3x-y-5=0$ और $6x-2y-k=0$ का कोई हल नहीं होगा?|$k=10$|$k \\ne 10$|$k=-10$|$k \\ne 5$|$k \\ne 10$|Mathematics_C3|30
15|$k$ के किस मान के लिए समीकरण युग्म $x+2y=5$ और $3x+ky=15$ के अनंत हल होंगे?|$k=6$|$k=-6$|$k=3$|$k=2$|$k=6$|Mathematics_C3|30
16|समीकरण $x+y=14$ और $x-y=4$ का हल क्या है?|$x=9, y=5$|$x=10, y=4$|$x=7, y=7$|$x=14, y=0$|$x=9, y=5$|Mathematics_C3|30
17|यदि $2x+3y=11$ और $2x-4y=-24$ है, तो $x$ और $y$ के मान ज्ञात करें।|$x=2, y=4$|$x=-2, y=5$|$x=5, y=-2$|$x=1, y=3$|$x=-2, y=5$|Mathematics_C3|30
18|यदि $x=a$ और $y=b$ समीकरणों $x-y=2$ और $x+y=4$ का हल है, तो $a$ और $b$ का मान क्या होगा?|$a=3, b=1$|$a=1, b=3$|$a=4, b=2$|$a=0, b=2$|$a=3, b=1$|Mathematics_C3|30
19|समीकरण $x+2y=10$ और $2x+y=8$ का हल क्या है?|$x=4, y=3$|$x=2, y=4$|$x=0, y=5$|$x=6, y=2$|$x=2, y=4$|Mathematics_C3|30
20|यदि $x=3$ और $y=1$ समीकरण $3x-2y=k$ का एक हल है, तो $k$ का मान ज्ञात करें।|$k=7$|$k=5$|$k=11$|$k=1$|$k=7$|Mathematics_C3|30
21|समीकरणों $x+y=3$ और $2x+5y=12$ को हल करने पर $x$ का मान क्या होगा?|$x=1$|$x=2$|$x=3$|$x=0$|$x=1$|Mathematics_C3|30
22|दो चर वाले रैखिक समीकरण युग्म को हल करने की कौन सी विधि नहीं है?|प्रतिस्थापन विधि (Substitution Method)|विलोपन विधि (Elimination Method)|वर्गमूल विधि (Square Root Method)|वज्रगुणन विधि (Cross-Multiplication Method)|वर्गमूल विधि (Square Root Method)|Mathematics_C3|30
23|प्रतिस्थापन विधि में, समीकरण को कैसे हल किया जाता है?|एक समीकरण से एक चर का मान निकालकर उसे दूसरे समीकरण में रखते हैं।|चरों को गुणा करके।|दोनों समीकरणों को जोड़कर।|दोनों समीकरणों को भाग देकर।|एक समीकरण से एक चर का मान निकालकर उसे दूसरे समीकरण में रखते हैं।|Mathematics_C3|30
24|विलोपन विधि में, चरों को कैसे हटाया जाता है?|दोनों समीकरणों को गुणा करके।|किसी एक चर के गुणांकों को बराबर करके जोड़ या घटाव करते हैं।|दोनों समीकरणों का वर्गमूल लेते हैं।|एक समीकरण को दूसरे से भाग देते हैं।|किसी एक चर के गुणांकों को बराबर करके जोड़ या घटाव करते हैं।|Mathematics_C3|30
25|समीकरण युग्म $7x-15y=2$ और $x+2y=3$ को विलोपन विधि से हल करने के लिए, $x$ को विलोपित करने के लिए दूसरे समीकरण को किससे गुणा करना होगा?|2 से|7 से|15 से|3 से|7 से|Mathematics_C3|30
26|यदि $a_1=6, b_1=-3, c_1=10$ और $a_2=2, b_2=-1, c_2=9$ है, तो समीकरण युग्म का हल कैसा होगा?|अद्वितीय|अनंत|कोई हल नहीं|दो हल|कोई हल नहीं|Mathematics_C3|30
27|यदि रेखाएँ संपाती (Coincident) हैं, तो कौन सी शर्त सही है?|$\\frac{a_1}{a_2} \\ne \\frac{b_1}{b_2}$|$\\frac{a_1}{a_2} = \\frac{b_1}{b_2} \\ne \\frac{c_1}{c_2}$|$\\frac{a_1}{a_2} = \\frac{b_1}{b_2} = \\frac{c_1}{c_2}$|इनमें से कोई नहीं|$\\frac{a_1}{a_2} = \\frac{b_1}{b_2} = \\frac{c_1}{c_2}$|Mathematics_C3|30
28|यदि रेखाएँ प्रतिच्छेदी (Intersecting) हैं, तो समीकरण युग्म कैसा होगा?|असंगत|संगत|आश्रित|इनमें से कोई नहीं|संगत|Mathematics_C3|30
29|समीकरण युग्म $x=0$ और $y=-7$ का हल किस चतुर्थांश (Quadrant) में स्थित है?|प्रथम|द्वितीय|तृतीय|किसी चतुर्थांश में नहीं (Y-अक्ष पर)|किसी चतुर्थांश में नहीं (Y-अक्ष पर)|Mathematics_C3|30
30|समीकरण $2x-3y=7$ और $x+6y=11$ में $x$ का मान ज्ञात करें।|$x=5$|$x=3$|$x=-5$|$x=1$|$x=5$|Mathematics_C3|30
31|समीकरण $5x-y=5$ और $3x-y=3$ का हल क्या है?|$x=1, y=0$|$x=0, y=1$|$x=2, y=5$|$x=5, y=0$|$x=1, y=0$|Mathematics_C3|30
32|यदि समीकरण $kx+3y-(k-3)=0$ और $12x+ky-k=0$ के अनंत हल हैं, तो $k$ का मान क्या है?|$k=6$|$k=-6$|$k=3$|$k=12$|$k=6$|Mathematics_C3|30
33|समीकरण $x+y=10$ और $2x-y=5$ का प्रतिच्छेदन बिंदु (Intersection Point) क्या है?|$(5, 5)$|$(3, 7)$|$(7, 3)$|$(10, 0)$|$(5, 5)$|Mathematics_C3|30
34|यदि समीकरण $4x+py=8$ और $2x+2y=2$ का अद्वितीय हल है, तो $p$ का मान क्या नहीं होना चाहिए?|$p=4$|$p \\ne 4$|$p=2$|$p \\ne 2$|$p \\ne 4$|Mathematics_C3|30
35|समीकरण $x=a$ और $y=b$ द्वारा निरूपित रेखाएँ कैसी होती हैं?|हमेशा प्रतिच्छेदी|हमेशा समांतर|हमेशा संपाती|Y-अक्ष पर प्रतिच्छेदी|हमेशा प्रतिच्छेदी|Mathematics_C3|30
36|दो व्यक्तियों की आयु का अंतर 5 वर्ष है और उनकी आयु का योग 45 वर्ष है। उनकी आयु क्या है?|20 वर्ष और 25 वर्ष|25 वर्ष और 30 वर्ष|15 वर्ष और 20 वर्ष|25 वर्ष और 20 वर्ष|25 वर्ष और 20 वर्ष|Mathematics_C3|30
37|दो अंकों की एक संख्या में अंकों का योग 9 है। यदि संख्या में 27 जोड़ दिया जाए तो अंक पलट जाते हैं। संख्या क्या है?|36|27|45|54|36|Mathematics_C3|30
38|3 कुर्सी और 2 मेज का मूल्य ₹700 है, जबकि 5 कुर्सी और 3 मेज का मूल्य ₹1100 है। 1 कुर्सी का मूल्य ज्ञात करें।|₹100|₹200|₹50|₹150|₹100|Mathematics_C3|30
39|एक भिन्न के अंश में 1 जोड़ने पर वह $\\frac{1}{2}$ हो जाता है, और हर में 1 जोड़ने पर वह $\\frac{1}{3}$ हो जाता है। भिन्न क्या है?|$\\frac{1}{4}$|$\\frac{3}{5}$|$\\frac{2}{5}$|$\\frac{3}{8}$|$\\frac{3}{8}$|Mathematics_C3|30
40|एक नाव धारा के अनुकूल 20 km की दूरी 2 घंटे में और धारा के प्रतिकूल 4 km की दूरी 2 घंटे में तय करती है। शांत जल में नाव की चाल क्या है?|6 km/h|8 km/h|10 km/h|4 km/h|6 km/h|Mathematics_C3|30
41|यदि $4x+py=8$ और $2x+2y=2$ के बीच कोई हल नहीं है, तो $p$ का मान क्या होगा?|$p=4$|$p=2$|$p \\ne 4$|$p=1$|$p=4$|Mathematics_C3|30
42|समीकरण $2x-y=5$ में $x=3$ रखने पर $y$ का मान क्या होगा?|1|-1|2|-2|1|Mathematics_C3|30
43|एक आयताकार बगीचे की लंबाई उसकी चौड़ाई के दोगुने से 4 मीटर अधिक है। यदि लंबाई $l$ और चौड़ाई $w$ हो, तो कौन सा समीकरण सही है?|$l = 4w+2$|$l = 2w+4$|$w = 2l+4$|$l+w = 4$|$l = 2w+4$|Mathematics_C3|30
44|समीकरण $x-2y=0$ और $3x+4y=20$ का हल क्या है?|$x=2, y=1$|$x=4, y=2$|$x=6, y=3$|$x=8, y=4$|$x=4, y=2$|Mathematics_C3|30
45|यदि दो रेखाएँ संपाती हैं, तो उनके द्वारा निरूपित रैखिक समीकरण युग्म को क्या कहते हैं?|असंगत निकाय|संगत और आश्रित निकाय|संगत और स्वतंत्र निकाय|कोई निकाय नहीं|संगत और आश्रित निकाय|Mathematics_C3|30
46|एक रैखिक समीकरण युग्म जिसके अनंत हल हैं, उसका आलेख कैसा होगा?|प्रतिच्छेदी रेखाएँ|समांतर रेखाएँ|संपाती रेखाएँ|वृत्त|संपाती रेखाएँ|Mathematics_C3|30
47|वह कौन सी विधि है जिसमें चर को हटाने के लिए दोनों समीकरणों को जोड़ा या घटाया जाता है?|प्रतिस्थापन विधि|विलोपन विधि|वज्रगुणन विधि|ग्राफिकल विधि|विलोपन विधि|Mathematics_C3|30
48|समीकरण $5x-3y=11$ में $y=3$ रखने पर $x$ का मान क्या होगा?|2|4|5|3|4|Mathematics_C3|30
49|यदि किसी रैखिक समीकरण युग्म के गुणांकों का अनुपात $\\frac{a_1}{a_2} = \\frac{b_1}{b_2} \\ne \\frac{c_1}{c_2}$ है, तो आलेख कैसा होगा?|प्रतिच्छेदी|समांतर|संपाती|लंबवत|समांतर|Mathematics_C3|30
50|यदि समीकरण $x+y=5$ और $x-y=5$ है, तो $x+y$ का मान क्या होगा?|0|5|10|15|5|Mathematics_C3|30
